Alpha,CL,CD,CDp,CM,X,Y
0,0.0003,0.023,0.0148,-0.0001,0.9703,0.9703
0.25,0.1649,0.02237,0.01423,-0.0256,0.9432,0.9926
0.5,0.2624,0.02157,0.01347,-0.039,0.9089,1
0.75,0.2947,0.02146,0.01335,-0.0406,0.8723,1
1,0.312,0.02152,0.01336,-0.0392,0.8398,1
1.25,0.3241,0.02164,0.01343,-0.0367,0.8105,1
1.5,0.3337,0.02187,0.01363,-0.034,0.7819,1
1.75,0.3449,0.02203,0.01373,-0.031,0.7574,1
2,0.3548,0.02235,0.01403,-0.0282,0.731,1
2.25,0.366,0.02257,0.01417,-0.0249,0.7082,1
2.5,0.3778,0.02295,0.01452,-0.0222,0.6835,1
2.75,0.3914,0.02326,0.01476,-0.0192,0.6599,1
3,0.4071,0.02349,0.01489,-0.0162,0.6383,1
3.25,0.4235,0.024,0.01537,-0.014,0.6123,1
3.5,0.4423,0.02427,0.01554,-0.0115,0.5892,1
3.75,0.4619,0.02474,0.01595,-0.0095,0.5641,1
4,0.4829,0.02508,0.01621,-0.0073,0.5394,1
4.25,0.5043,0.02554,0.01661,-0.0055,0.5142,1
4.5,0.5266,0.02595,0.01694,-0.0037,0.4888,1
4.75,0.5489,0.02649,0.01744,-0.0021,0.463,1
5,0.572,0.02696,0.0178,-0.0004,0.4377,1
5.25,0.5946,0.02767,0.01848,0.0009,0.4115,1
5.5,0.6183,0.02821,0.0189,0.0024,0.3871,1
5.75,0.6407,0.02917,0.01987,0.0035,0.3619,1
6,0.6641,0.02991,0.0205,0.0048,0.3384,1
6.25,0.687,0.03098,0.02152,0.0059,0.3164,1
6.5,0.7086,0.03232,0.02297,0.0068,0.2948,1
6.75,0.731,0.03357,0.0242,0.0077,0.2754,1
7,0.7529,0.03506,0.02572,0.0086,0.2582,1
7.25,0.7736,0.03677,0.02753,0.0093,0.2423,1
7.5,0.7916,0.03903,0.02999,0.0099,0.2286,1
7.75,0.8088,0.04145,0.03259,0.0105,0.2169,1
8,0.8312,0.04316,0.0342,0.0113,0.2059,1
8.25,0.8348,0.04743,0.03905,0.0112,0.1979,1
8.5,0.8542,0.04969,0.0413,0.0119,0.1898,1
8.75,0.8416,0.05579,0.04797,0.011,0.1864,1
9,0.817,0.0631,0.05562,0.0087,0.1861,1
9.25,0.7818,0.07167,0.06433,0.0047,0.1884,1
9.5,0.7548,0.07967,0.07229,0.0005,0.1904,1
