Alpha,CL,CD,CDp,CM,X,Y
0,0.3197,0.02393,0.01353,-0.0808,1,1
0.25,0.3401,0.02481,0.01432,-0.081,1,1
0.5,0.3598,0.02576,0.01521,-0.0812,1,1
0.75,0.3789,0.02679,0.0162,-0.0814,1,1
1,0.3975,0.0279,0.01729,-0.0817,1,1
1.25,0.4312,0.02909,0.01847,-0.0848,0.9935,1
1.5,0.4769,0.03021,0.01962,-0.09,0.9788,1
1.75,0.5207,0.03129,0.02075,-0.0946,0.9639,1
2,0.5628,0.03231,0.02188,-0.0987,0.9489,1
2.25,0.6029,0.03331,0.02298,-0.1023,0.9341,1
2.5,0.6428,0.03424,0.02405,-0.1057,0.9188,1
2.75,0.6944,0.03476,0.02479,-0.1103,0.9005,1
3,0.7372,0.03487,0.0251,-0.1126,0.8753,1
3.25,0.7899,0.03421,0.02471,-0.1152,0.8479,1
3.5,0.841,0.03343,0.02427,-0.1173,0.8249,1
3.75,0.8877,0.03269,0.02388,-0.1186,0.8038,1
4,0.9309,0.03172,0.0233,-0.1187,0.7811,1
4.25,0.9806,0.02988,0.02186,-0.1184,0.756,1
4.5,1.0155,0.02848,0.0208,-0.1157,0.7213,1
4.75,1.0535,0.02593,0.0185,-0.1112,0.6696,1
5,1.0739,0.02466,0.0172,-0.1053,0.5965,1
5.25,1.0853,0.02467,0.0168,-0.0991,0.4889,1
5.5,1.0873,0.02616,0.01728,-0.093,0.3576,1
5.75,1.0872,0.02915,0.019,-0.0883,0.2427,1
6,1.1021,0.03323,0.02227,-0.0858,0.1642,1
6.25,1.1282,0.03621,0.02509,-0.0846,0.1315,1
6.5,1.1546,0.03886,0.02764,-0.084,0.114,1
6.75,1.1837,0.0422,0.03137,-0.0832,0.1058,1
7,1.2087,0.04561,0.03483,-0.0826,0.099,1
7.25,1.2257,0.04897,0.03887,-0.0805,0.0943,1
7.5,1.2416,0.05288,0.04329,-0.0786,0.0921,1
7.75,1.252,0.05732,0.04829,-0.0762,0.0919,1
8,1.2563,0.06213,0.05368,-0.0736,0.0928,1
8.25,1.2553,0.06715,0.05922,-0.0708,0.0943,1
8.5,1.2498,0.07221,0.06471,-0.0682,0.0957,1
8.75,1.2419,0.07724,0.07007,-0.0657,0.097,1
9,1.2332,0.08232,0.0754,-0.0637,0.0982,1
9.25,1.2265,0.08758,0.08087,-0.0621,0.0992,1
9.5,1.1644,0.09253,0.08624,-0.0592,0.1038,1
9.75,1.1246,0.09954,0.09341,-0.061,0.1063,1
10,1.0957,0.10759,0.10152,-0.0649,0.109,1
10.25,0.924,0.10792,0.10207,-0.0523,0.1101,1
10.5,0.9119,0.11446,0.10861,-0.054,0.1121,1
