Alpha,CL,CD,CDp,CM,X,Y
0,0.2411,0.0216,0.01169,-0.0808,1,1
0.25,0.2635,0.02225,0.01212,-0.0809,1,1
0.5,0.2852,0.02296,0.01266,-0.081,1,1
0.75,0.3063,0.02373,0.01329,-0.0811,1,1
1,0.3268,0.02457,0.01403,-0.0812,1,1
1.25,0.3467,0.02549,0.01486,-0.0814,1,1
1.5,0.3661,0.02647,0.01578,-0.0815,1,1
1.75,0.3851,0.02752,0.01678,-0.0817,1,1
2,0.4035,0.02863,0.01788,-0.082,1,1
2.25,0.4374,0.02984,0.01908,-0.0851,0.9935,1
2.5,0.4828,0.03099,0.02026,-0.0902,0.9787,1
2.75,0.5264,0.03209,0.02141,-0.0947,0.9639,1
3,0.5684,0.03313,0.02255,-0.0987,0.9489,1
3.25,0.6096,0.03411,0.02364,-0.1024,0.9337,1
3.5,0.651,0.03501,0.02467,-0.1059,0.9181,1
3.75,0.6946,0.03577,0.02564,-0.1095,0.9021,1
4,0.7282,0.03647,0.02652,-0.1111,0.8826,1
4.25,0.7783,0.0365,0.02679,-0.1143,0.861,1
4.5,0.8216,0.03625,0.02686,-0.1158,0.836,1
4.75,0.8727,0.03534,0.0263,-0.1174,0.8113,1
5,0.9369,0.03314,0.02455,-0.1193,0.7875,1
5.25,0.9857,0.03106,0.02292,-0.1183,0.7592,1
5.5,1.0245,0.029,0.02121,-0.1152,0.7225,1
5.75,1.062,0.02628,0.01872,-0.1103,0.6707,1
6,1.0822,0.02475,0.01722,-0.1039,0.5954,1
6.25,1.0883,0.0246,0.01652,-0.0962,0.4654,1
6.5,1.0834,0.0272,0.01752,-0.0893,0.2974,1
6.75,1.0928,0.03084,0.02005,-0.086,0.2078,1
7,1.1177,0.03401,0.02271,-0.0849,0.1631,1
7.25,1.1472,0.03686,0.02554,-0.0842,0.1389,1
7.5,1.1764,0.04001,0.02852,-0.0841,0.1227,1
7.75,1.2007,0.04293,0.03204,-0.0826,0.1139,1
8,1.2258,0.04677,0.03604,-0.0819,0.1081,1
8.25,1.2406,0.05007,0.04004,-0.0795,0.1032,1
8.5,1.257,0.05359,0.04387,-0.0778,0.0989,1
8.75,1.2687,0.05794,0.04872,-0.0756,0.0983,1
9,1.2711,0.06267,0.05413,-0.0725,0.0993,1
9.25,1.2668,0.0678,0.05989,-0.0694,0.1013,1
9.5,1.2574,0.07304,0.06561,-0.0665,0.1035,1
9.75,1.2473,0.07825,0.07117,-0.064,0.1056,1
10,1.239,0.08355,0.0767,-0.0621,0.1074,1
10.25,1.2397,0.08942,0.08266,-0.061,0.1089,1
10.5,1.1733,0.09346,0.08717,-0.0579,0.1126,1
10.75,1.1285,0.10072,0.09457,-0.0602,0.1151,1
11,1.0969,0.10944,0.10334,-0.0649,0.1186,1
