Alpha,CL,CD,CDp,CM,X,Y
0,0.1701,0.02315,0.01294,-0.0448,0.9262,1
0.25,0.2107,0.02368,0.01334,-0.0481,0.9142,1
0.5,0.2453,0.02425,0.01381,-0.0503,0.9021,1
0.75,0.2773,0.02487,0.01435,-0.0519,0.8903,1
1,0.3093,0.02549,0.01491,-0.0534,0.8789,1
1.25,0.3459,0.02606,0.01547,-0.0556,0.8684,1
1.5,0.3704,0.02679,0.01617,-0.0557,0.8571,1
1.75,0.3874,0.02765,0.01701,-0.0547,0.8457,1
2,0.4087,0.02849,0.01785,-0.0543,0.835,1
2.25,0.4395,0.02921,0.01863,-0.0552,0.8252,1
2.5,0.4546,0.0302,0.01963,-0.0539,0.8145,1
2.75,0.4666,0.03129,0.02073,-0.0522,0.8039,1
3,0.4887,0.03225,0.02175,-0.0519,0.7944,1
3.25,0.5116,0.0332,0.02279,-0.0516,0.7844,1
3.5,0.5162,0.03456,0.02418,-0.0491,0.7742,1
3.75,0.5341,0.0357,0.02539,-0.0483,0.7643,1
4,0.5604,0.03669,0.0265,-0.0484,0.7548,1
4.25,0.562,0.03823,0.02808,-0.0458,0.7441,1
4.5,0.5744,0.0396,0.02954,-0.0444,0.7339,1
4.75,0.6005,0.04067,0.0308,-0.0444,0.7233,1
5,0.6198,0.04186,0.03214,-0.0435,0.7114,1
5.25,0.6275,0.04334,0.03372,-0.0415,0.6986,1
5.5,0.6455,0.0445,0.03505,-0.0403,0.6843,1
5.75,0.6834,0.04467,0.0355,-0.0398,0.6656,1
6,0.6966,0.04545,0.0365,-0.0373,0.6442,1
6.25,0.7432,0.04371,0.03516,-0.0347,0.6156,1
6.5,0.8121,0.03736,0.02937,-0.0281,0.5758,1
6.75,0.8577,0.03175,0.0241,-0.0207,0.5339,1
7,0.8811,0.02581,0.01818,-0.0107,0.4356,1
7.25,0.8674,0.02691,0.01752,-0.0026,0.2422,1
7.5,0.8639,0.03007,0.01974,0.0012,0.1811,1
7.75,0.8742,0.03282,0.02208,0.0039,0.1443,1
8,0.8984,0.03535,0.02451,0.0055,0.1216,1
8.25,0.9298,0.03824,0.02741,0.0063,0.1094,1
8.5,0.9561,0.04134,0.03046,0.0069,0.1002,1
8.75,0.9743,0.04421,0.03386,0.0085,0.0966,1
9,0.9905,0.04767,0.03777,0.0101,0.0949,1
9.25,1.0018,0.05135,0.04191,0.0117,0.0945,1
9.5,1.0075,0.05519,0.04624,0.0135,0.0946,1
9.75,1.0078,0.05909,0.05055,0.0153,0.0948,1
10,1.0029,0.06316,0.05499,0.017,0.0954,1
10.25,0.9914,0.06718,0.05932,0.0186,0.0958,1
10.5,0.9764,0.07136,0.06374,0.0198,0.097,1
10.75,0.958,0.07543,0.06796,0.0209,0.0982,1
11,0.9397,0.07991,0.07254,0.021,0.0992,1
11.25,0.9293,0.08506,0.07775,0.0203,0.1004,1
11.5,0.7306,0.09169,0.08486,0.0133,0.1099,1
11.75,0.713,0.0994,0.09255,0.0102,0.1128,1
