Alpha,CL,CD,CDp,CM,X,Y
0,-0.3553,0.06793,0.05942,0.028,0.9417,0.8833
0.25,-0.2919,0.07116,0.06254,0.019,0.9308,0.8998
0.5,-0.2543,0.07212,0.06341,0.0146,0.9176,0.9155
0.75,-0.2013,0.07465,0.06586,0.007,0.9099,0.932
1,-0.1452,0.07653,0.06766,-0.0013,0.8967,0.9464
1.25,-0.0967,0.07821,0.06929,-0.0085,0.885,0.9608
1.5,-0.0275,0.08116,0.07215,-0.0196,0.8751,0.9771
1.75,0.0153,0.08219,0.07316,-0.0264,0.8636,0.991
2,0.0689,0.08438,0.07527,-0.035,0.855,1
2.25,0.0573,0.08344,0.07426,-0.0315,0.8431,1
2.5,0.0729,0.08441,0.07513,-0.0322,0.8345,1
2.75,0.0586,0.08355,0.0742,-0.0282,0.8247,1
3,0.0685,0.08415,0.0747,-0.0276,0.8154,1
3.25,0.0678,0.08471,0.07517,-0.0255,0.8092,1
3.5,0.0661,0.08434,0.07472,-0.0228,0.7966,1
4,0.0659,0.08503,0.07524,-0.0179,0.7795,1
4.25,0.0828,0.08661,0.07673,-0.0178,0.7723,1
4.5,0.0787,0.0871,0.07714,-0.0148,0.7662,1
4.75,0.0816,0.0873,0.07727,-0.0124,0.7548,1
5,0.1099,0.09041,0.08031,-0.0138,0.7492,1
5.25,0.0894,0.08904,0.07888,-0.0085,0.7396,1
5.5,0.1042,0.09049,0.08026,-0.0079,0.7316,1
5.75,0.1365,0.09454,0.08425,-0.0097,0.7272,1
6,0.1115,0.0923,0.08195,-0.004,0.7159,1
6.25,0.1327,0.09445,0.08406,-0.0042,0.7088,1
6.5,0.1516,0.0975,0.08706,-0.0044,0.705,1
6.75,0.137,0.09616,0.08569,-0.0003,0.6935,1
7,0.1614,0.09879,0.08828,-0.0009,0.6869,1
7.25,0.163,0.10008,0.08954,0.0008,0.6816,1
7.5,0.1655,0.1005,0.08994,0.0027,0.671,1
7.75,0.1933,0.10376,0.09318,0.0016,0.6651,1
8,0.1838,0.10384,0.09324,0.0045,0.6575,1
8.25,0.197,0.10538,0.09477,0.005,0.6482,1
8.5,0.2314,0.10996,0.09935,0.0031,0.6432,1
8.75,0.2106,0.10845,0.09782,0.007,0.6328,1
9,0.2339,0.11117,0.10054,0.0064,0.6251,1
9.25,0.2378,0.11301,0.10238,0.0074,0.6194,1
9.5,0.2438,0.11392,0.1033,0.0085,0.608,1
9.75,0.2806,0.11905,0.10846,0.0065,0.6026,1
10,0.2584,0.11746,0.10686,0.0099,0.5916,1
10.25,0.2872,0.12113,0.11056,0.0088,0.584,1
10.5,0.2769,0.12154,0.11097,0.0106,0.5752,1
10.75,0.2976,0.12421,0.11368,0.0103,0.5658,1
