Alpha,CL,CD,CDp,CM,X,Y
0,-0.1668,0.06816,0.06281,-0.0497,0.9939,0.3968
0.25,-0.1965,0.06799,0.06312,-0.0325,0.9873,0.5151
0.5,-0.2468,0.06682,0.06238,-0.0083,0.9822,0.6359
0.75,0.0785,0.06028,0.05079,-0.0896,0.9744,0.1487
1,0.1134,0.06073,0.05078,-0.0916,0.9656,0.1528
1.25,0.1532,0.06191,0.05173,-0.0945,0.9586,0.1656
1.5,0.1846,0.0625,0.05209,-0.096,0.9469,0.1809
1.75,0.2161,0.06343,0.05293,-0.0976,0.9378,0.2107
2,0.2582,0.06415,0.05435,-0.1008,0.9307,0.3388
2.25,0.2803,0.06323,0.05457,-0.0997,0.9183,1
2.5,0.3053,0.06514,0.05604,-0.1007,0.9065,1
2.75,0.3425,0.06832,0.0588,-0.1036,0.8974,1
3,0.3612,0.06955,0.05981,-0.1037,0.8835,1
3.25,0.3784,0.07095,0.06101,-0.1035,0.8706,1
3.5,0.3975,0.07275,0.06263,-0.1038,0.8597,1
3.75,0.4331,0.07599,0.06564,-0.1064,0.851,1
4,0.4444,0.07694,0.06648,-0.1055,0.8379,1
4.25,0.4585,0.07854,0.06798,-0.1051,0.8269,1
4.5,0.4951,0.08212,0.07139,-0.1079,0.8194,1
4.75,0.5017,0.08285,0.07207,-0.1065,0.8066,1
5,0.5141,0.08459,0.07374,-0.106,0.7965,1
5.25,0.5474,0.0879,0.07694,-0.1082,0.7882,1
5.5,0.5513,0.0888,0.07783,-0.1067,0.7764,1
5.75,0.5717,0.09152,0.08049,-0.1075,0.7692,1
6,0.5904,0.09352,0.08246,-0.1078,0.7578,1
6.25,0.597,0.0952,0.08413,-0.107,0.7482,1
6.5,0.6295,0.09867,0.08755,-0.109,0.7402,1
6.75,0.6286,0.09968,0.08859,-0.1074,0.7293,1
7,0.6635,0.10385,0.09272,-0.1097,0.723,1
7.25,0.661,0.10448,0.0934,-0.108,0.711,1
7.5,0.6751,0.10725,0.09617,-0.1084,0.7042,1
7.75,0.693,0.10957,0.09851,-0.1088,0.6935,1
8,0.6969,0.11164,0.10063,-0.1082,0.685,1
8.25,0.7255,0.11503,0.10405,-0.1097,0.6763,1
8.5,0.7225,0.11653,0.10559,-0.1086,0.6665,1
8.75,0.7589,0.121,0.1101,-0.1108,0.6596,1
9,0.7493,0.12173,0.11088,-0.1093,0.6488,1
9.25,0.7673,0.12515,0.11437,-0.1101,0.6423,1
9.5,0.778,0.12728,0.11657,-0.1102,0.6314,1
9.75,0.7818,0.12976,0.11911,-0.1101,0.6234,1
10,0.8107,0.13354,0.12296,-0.1115,0.6143,1
10.25,0.8046,0.13506,0.12455,-0.1109,0.6046,1
10.5,0.8251,0.13879,0.12837,-0.1119,0.5976,1
