Alpha,CL,CD,CDp,CM,X,Y
0,0.2924,0.04863,0.03946,-0.0834,0.6201,0.4554
0.25,0.2445,0.05274,0.04362,-0.0789,0.6089,0.4535
0.5,0.3032,0.05151,0.04221,-0.0814,0.6022,0.4697
0.75,0.2679,0.05523,0.04595,-0.0779,0.5947,0.4697
1,0.2595,0.0576,0.04834,-0.0764,0.5876,0.4741
1.25,0.3157,0.0565,0.04711,-0.078,0.5806,0.4921
1.5,0.2958,0.05993,0.05058,-0.0762,0.5751,0.4951
1.75,0.2805,0.06305,0.05375,-0.075,0.5714,0.4991
2,0.2829,0.06531,0.05599,-0.0747,0.5674,0.5083
2.25,0.3577,0.06366,0.05425,-0.0762,0.5578,0.5393
2.5,0.3355,0.06761,0.05825,-0.0754,0.5563,0.5434
2.75,0.3325,0.07064,0.06129,-0.0754,0.556,0.5554
3,0.3354,0.07335,0.06408,-0.0755,0.5563,0.5704
3.25,0.3448,0.07592,0.06676,-0.0759,0.557,0.5924
3.5,0.2119,0.08555,0.07648,-0.0779,0.6741,0.5438
3.75,0.2515,0.08843,0.07943,-0.08,0.6659,0.5748
4,0.2473,0.08907,0.08017,-0.0784,0.6553,0.5916
4.25,0.2746,0.09102,0.08238,-0.0792,0.6464,0.6377
4.5,0.3117,0.09368,0.08618,-0.0794,0.6425,0.8871
4.75,0.2964,0.09274,0.08496,-0.0782,0.6284,1
5,0.346,0.09749,0.08917,-0.0822,0.622,1
5.25,0.3298,0.09744,0.08903,-0.08,0.61,1
5.5,0.3604,0.10068,0.09204,-0.0814,0.6028,1
5.75,0.3767,0.10394,0.09515,-0.0821,0.5983,1
6,0.3762,0.1046,0.09573,-0.081,0.5854,1
6.25,0.4164,0.10918,0.10013,-0.0829,0.5799,1
6.5,0.3993,0.10928,0.10021,-0.0812,0.5694,1
6.75,0.4232,0.11221,0.10302,-0.0819,0.5619,1
7,0.4643,0.11772,0.10839,-0.0839,0.5582,1
7.25,0.4375,0.11656,0.10724,-0.0819,0.5469,1
7.5,0.4651,0.11995,0.11054,-0.0827,0.5401,1
7.75,0.4867,0.12411,0.11461,-0.0836,0.5362,1
8,0.4754,0.12398,0.11448,-0.0826,0.5249,1
8.25,0.5019,0.12757,0.118,-0.0834,0.5194,1
8.5,0.5322,0.13288,0.12323,-0.0848,0.5163,1
8.75,0.5101,0.13153,0.1219,-0.0835,0.5049,1
9,0.5366,0.13516,0.12547,-0.0843,0.499,1
9.25,0.5714,0.14124,0.13148,-0.0857,0.4962,1
9.5,0.5434,0.13917,0.12944,-0.0847,0.4861,1
9.75,0.5644,0.14234,0.13257,-0.0852,0.4801,1
10,0.6009,0.14834,0.13854,-0.0865,0.4767,1
10.25,0.577,0.14692,0.13713,-0.0861,0.468,1
10.5,0.5938,0.14968,0.13987,-0.0866,0.4613,1
