Alpha,CL,CD,CDp,CM,X,Y
0,0.025,0.04887,0.03883,-0.0221,0.8171,0.1654
0.25,0.0492,0.04843,0.03821,-0.0217,0.8033,0.163
0.5,0.0812,0.04806,0.03759,-0.0222,0.7899,0.1586
0.75,0.1248,0.04775,0.03698,-0.0246,0.7769,0.155
1,0.2083,0.04698,0.03598,-0.0338,0.763,0.1548
1.25,0.2841,0.04599,0.03497,-0.0412,0.7499,0.1638
1.5,0.3159,0.04615,0.03505,-0.0421,0.7347,0.1699
1.75,0.5151,0.04186,0.0332,-0.0718,0.7193,1
2,0.5442,0.0422,0.03312,-0.0709,0.7047,1
2.25,0.6194,0.0402,0.03066,-0.0753,0.6967,1
2.5,0.6379,0.04084,0.03116,-0.0735,0.6805,1
2.75,0.657,0.04152,0.03172,-0.0719,0.665,1
3,0.6842,0.04185,0.03195,-0.0712,0.6507,1
3.25,0.784,0.03863,0.02855,-0.0792,0.639,1
3.5,0.8454,0.03686,0.02665,-0.0824,0.6206,1
3.75,0.8882,0.03589,0.02556,-0.0831,0.6012,1
4,0.9267,0.03524,0.0248,-0.0835,0.5824,1
4.25,0.9611,0.03487,0.02431,-0.0834,0.5645,1
4.5,0.995,0.03467,0.02402,-0.0835,0.5481,1
4.75,1.0335,0.03443,0.02363,-0.0845,0.5329,1
5,1.0349,0.03552,0.02478,-0.08,0.5186,1
5.25,1.0442,0.03651,0.02579,-0.0769,0.5059,1
5.5,1.071,0.03663,0.02585,-0.0762,0.4922,1
5.75,1.108,0.03634,0.02543,-0.0769,0.4785,1
6,1.1076,0.03738,0.02657,-0.0722,0.4655,1
6.25,1.1179,0.03811,0.02733,-0.0692,0.4534,1
6.5,1.1441,0.03798,0.02712,-0.0683,0.4402,1
6.75,1.1597,0.03856,0.02772,-0.0662,0.4294,1
7,1.1644,0.03969,0.02893,-0.0627,0.4198,1
7.25,1.2008,0.03952,0.0287,-0.0636,0.4098,1
7.5,1.1878,0.04137,0.03074,-0.0576,0.401,1
7.75,1.2214,0.04111,0.0304,-0.058,0.3904,1
8,1.2141,0.04256,0.03199,-0.0529,0.381,1
8.25,1.2297,0.04286,0.03231,-0.0507,0.3702,1
8.5,1.2666,0.04228,0.0316,-0.0515,0.3578,1
8.75,1.2403,0.04426,0.03381,-0.0437,0.3496,1
9,1.2566,0.04417,0.03366,-0.0415,0.3367,1
9.25,1.2752,0.04397,0.03336,-0.0396,0.3225,1
9.5,1.2647,0.04531,0.03487,-0.0344,0.3113,1
9.75,1.2625,0.04649,0.03612,-0.0306,0.2994,1
10,1.2624,0.04725,0.03685,-0.0269,0.2838,1
10.25,1.2617,0.04833,0.0379,-0.0235,0.2683,1
10.5,1.2557,0.04983,0.03935,-0.0198,0.2518,1
10.75,1.2484,0.0517,0.04116,-0.0165,0.2352,1
11,1.2476,0.05355,0.04291,-0.014,0.2208,1
11.25,1.2563,0.05498,0.04418,-0.0123,0.208,1
11.5,1.237,0.0588,0.04822,-0.0097,0.2001,1
11.75,1.2532,0.06005,0.04934,-0.0087,0.1918,1
12,1.2324,0.06456,0.05414,-0.0069,0.1877,1
12.25,1.2238,0.0683,0.05802,-0.0058,0.1838,1
12.5,1.2647,0.06783,0.05731,-0.0054,0.1784,1
12.75,1.2249,0.07449,0.06434,-0.0044,0.1772,1
13,1.1639,0.08472,0.07492,-0.0054,0.1769,1
