Alpha,CL,CD,CDp,CM,X,Y
0,-0.0266,0.0185,0.00771,0.0013,1,1
0.25,-0.0142,0.01872,0.00781,0.0029,1,1
0.5,0.0001,0.01898,0.00798,0.0042,1,1
0.75,0.0158,0.01928,0.00821,0.0052,1,1
1,0.0325,0.01963,0.00849,0.006,1,1
1.25,0.0498,0.02001,0.00883,0.0066,1,1
1.5,0.0676,0.02044,0.00922,0.0071,1,1
1.75,0.0857,0.02091,0.00968,0.0074,1,1
2,0.1041,0.02142,0.01019,0.0077,1,1
2.25,0.1225,0.02198,0.01077,0.0078,1,1
2.5,0.1409,0.0226,0.01142,0.0079,1,1
2.75,0.1592,0.02327,0.01216,0.0078,1,1
3,0.2189,0.02463,0.01369,-0.0002,0.9829,1
3.25,0.2731,0.02578,0.01505,-0.0068,0.9618,1
3.5,0.3334,0.02692,0.01651,-0.0141,0.9391,1
3.75,0.3916,0.02782,0.01774,-0.0205,0.9135,1
4,0.4493,0.02846,0.01883,-0.026,0.8851,1
4.25,0.5057,0.0288,0.01963,-0.0304,0.8528,1
4.5,0.5715,0.02832,0.01976,-0.0341,0.8158,1
4.75,0.6234,0.02664,0.01865,-0.0323,0.7679,1
5,0.6563,0.02407,0.01643,-0.0256,0.7088,1
5.25,0.6755,0.0219,0.01445,-0.018,0.6382,1
5.5,0.6813,0.02071,0.01257,-0.0084,0.4538,1
5.75,0.675,0.02443,0.01404,-0.002,0.2342,1
6,0.6913,0.02696,0.01597,0.0002,0.1697,1
6.25,0.7194,0.02937,0.0182,0.0013,0.1419,1
6.5,0.746,0.03163,0.02049,0.0022,0.1231,1
6.75,0.7744,0.03459,0.02363,0.0029,0.1155,1
7,0.7985,0.03745,0.02689,0.0041,0.1095,1
7.25,0.8191,0.04068,0.03033,0.0051,0.1033,1
7.5,0.8364,0.04418,0.03443,0.0067,0.1019,1
7.75,0.8515,0.04821,0.03901,0.0082,0.1026,1
8,0.8647,0.05266,0.04384,0.0095,0.104,1
8.25,0.8656,0.05717,0.04919,0.0114,0.1086,1
8.5,0.8617,0.06258,0.05513,0.0124,0.1136,1
8.75,0.8648,0.06772,0.06047,0.0129,0.1167,1
9,0.8382,0.07411,0.06736,0.0121,0.1264,1
9.5,0.7987,0.08755,0.08098,0.007,0.1474,1
9.75,0.6877,0.08079,0.07444,0.0157,0.1334,1
10,0.6379,0.0915,0.08504,0.0074,0.1412,1
