Alpha,CL,CD,CDp,CM,X,Y
0,0.2377,0.02429,0.01455,-0.0847,1,0.5574
0.25,0.2614,0.0242,0.01449,-0.0849,1,0.6062
0.5,0.2856,0.02397,0.01451,-0.0851,1,0.675
0.75,0.2965,0.02345,0.01457,-0.0837,1,1
1,0.3228,0.0244,0.01502,-0.0857,1,1
1.25,0.343,0.02538,0.01569,-0.0862,1,1
1.5,0.3868,0.02667,0.01668,-0.0912,0.9881,1
1.75,0.4384,0.02786,0.01764,-0.0971,0.9706,1
2,0.4874,0.02893,0.01857,-0.1022,0.9528,1
2.25,0.5387,0.02992,0.01949,-0.1074,0.9356,1
2.5,0.5794,0.03075,0.02029,-0.1106,0.9163,1
2.75,0.6229,0.03146,0.021,-0.1139,0.8975,1
3,0.6716,0.03197,0.02157,-0.1178,0.8801,1
3.25,0.7052,0.03255,0.02226,-0.1191,0.8598,1
3.5,0.7498,0.03281,0.02263,-0.1218,0.8413,1
3.75,0.7978,0.0328,0.02279,-0.1245,0.8238,1
4,0.8316,0.03307,0.02327,-0.1251,0.8029,1
4.25,0.8833,0.03257,0.02302,-0.1276,0.7853,1
4.5,0.9231,0.03234,0.02301,-0.1282,0.7656,1
4.75,0.964,0.03193,0.02284,-0.1286,0.7456,1
5,1.0105,0.0311,0.02238,-0.1292,0.7264,1
5.25,1.0435,0.03099,0.02253,-0.1284,0.7034,1
5.5,1.0778,0.03081,0.02261,-0.1275,0.6801,1
5.75,1.1157,0.03038,0.02246,-0.1266,0.6562,1
6,1.1486,0.03023,0.02264,-0.1251,0.6297,1
6.25,1.1744,0.02886,0.02135,-0.1205,0.5834,1
6.5,1.1909,0.02678,0.019,-0.1137,0.5171,1
6.75,1.1983,0.02649,0.01874,-0.1082,0.4575,1
7,1.1915,0.02692,0.01875,-0.1006,0.3502,1
7.25,1.1752,0.03059,0.02078,-0.0936,0.1909,1
7.5,1.1808,0.03381,0.02332,-0.0904,0.1397,1
7.75,1.1999,0.03671,0.02591,-0.0885,0.1178,1
8,1.2317,0.03973,0.02895,-0.0879,0.1027,1
8.25,1.2648,0.04318,0.03231,-0.088,0.0913,1
8.5,1.2936,0.0467,0.03641,-0.087,0.0879,1
8.75,1.3166,0.05071,0.04094,-0.0855,0.0862,1
9,1.3323,0.05498,0.04576,-0.0835,0.0856,1
9.25,1.3411,0.05916,0.05045,-0.0812,0.0843,1
9.5,1.3465,0.06327,0.05497,-0.0788,0.0826,1
9.75,1.3488,0.0676,0.05966,-0.0765,0.0815,1
10,1.3381,0.07216,0.06476,-0.0734,0.0823,1
10.25,1.3207,0.07689,0.06995,-0.0704,0.0839,1
10.5,1.2994,0.08143,0.07481,-0.0676,0.0853,1
10.75,1.2748,0.08588,0.0795,-0.0653,0.0866,1
11,1.2505,0.09087,0.08467,-0.0645,0.0878,1
11.25,1.2285,0.09651,0.09045,-0.065,0.0891,1
11.5,1.2108,0.10267,0.09671,-0.0664,0.0903,1
11.75,1.206,0.10906,0.10314,-0.0675,0.0914,1
12,1.1308,0.12476,0.11898,-0.0817,0.1033,1
12.25,1.0856,0.14217,0.13625,-0.0962,0.1137,1
