Alpha,CL,CD,CDp,CM,X,Y
0,-0.1821,0.02406,0.01465,0.0186,1,0.9473
0.25,-0.1403,0.02389,0.01443,0.0146,1,0.9659
0.5,-0.0871,0.02395,0.01446,0.0081,1,0.983
0.75,-0.0376,0.02403,0.01454,0.0019,1,0.9998
1,-0.036,0.02364,0.01417,0.004,1,1
1.25,-0.0243,0.02347,0.01401,0.0043,1,1
1.5,-0.0031,0.02353,0.01408,0.003,1,1
1.75,0.0235,0.02378,0.01435,0.0007,1,1
2,0.0531,0.02416,0.01477,-0.002,1,1
2.25,0.0839,0.02466,0.01531,-0.005,1,1
2.5,0.1153,0.02526,0.01598,-0.0081,1,1
2.75,0.1465,0.02595,0.01675,-0.0111,1,1
3,0.1772,0.02674,0.01764,-0.0142,1,1
3.25,0.207,0.02764,0.01866,-0.0171,1,1
3.5,0.2833,0.02945,0.0207,-0.028,0.9731,1
3.75,0.3714,0.03067,0.02223,-0.039,0.9289,1
4,0.4538,0.03067,0.02261,-0.0468,0.8862,1
4.25,0.5154,0.02957,0.02189,-0.0498,0.8412,1
4.5,0.5825,0.0266,0.01943,-0.0502,0.7821,1
4.75,0.6428,0.02136,0.01431,-0.0443,0.6212,1
5,0.6825,0.02233,0.01352,-0.0421,0.4455,1
5.25,0.7153,0.02404,0.01475,-0.0428,0.3881,1
5.5,0.7491,0.0256,0.01605,-0.0439,0.3468,1
5.75,0.7811,0.02719,0.0175,-0.0447,0.3115,1
6,0.8111,0.02891,0.01899,-0.0453,0.2775,1
6.25,0.8392,0.03077,0.02074,-0.0456,0.2449,1
6.5,0.8652,0.0329,0.0229,-0.0455,0.2135,1
6.75,0.8907,0.0352,0.0251,-0.0455,0.1871,1
7,0.9155,0.03773,0.02782,-0.0453,0.1677,1
7.25,0.9397,0.04052,0.0308,-0.045,0.1544,1
7.5,0.9637,0.0434,0.03382,-0.0448,0.1449,1
7.75,0.9814,0.04685,0.03782,-0.0438,0.1391,1
8,1.0021,0.05007,0.04114,-0.0435,0.1334,1
8.25,1.0093,0.05423,0.04598,-0.0419,0.1306,1
8.5,1.0148,0.05878,0.05103,-0.0405,0.1295,1
8.75,1.0149,0.06385,0.05656,-0.0392,0.1301,1
9,1.0112,0.06916,0.06223,-0.0381,0.1315,1
9.25,1.006,0.07448,0.06782,-0.0373,0.1328,1
9.5,1.002,0.0798,0.0733,-0.0368,0.1339,1
9.75,0.9377,0.08853,0.08243,-0.0378,0.144,1
10,0.9451,0.09411,0.08802,-0.0382,0.1464,1
