Alpha,CL,CD,CDp,CM,X,Y
0,0.0357,0.02188,0.01218,-0.0243,0.9926,1
0.25,0.0847,0.02282,0.0129,-0.0296,0.9819,1
0.5,0.1326,0.02381,0.01373,-0.0347,0.9698,1
0.75,0.1788,0.02486,0.01465,-0.0394,0.9562,1
1,0.2263,0.02603,0.01573,-0.0441,0.9412,1
1.25,0.2726,0.02729,0.01694,-0.0484,0.9248,1
1.5,0.3088,0.0285,0.01813,-0.0508,0.9068,1
1.75,0.3467,0.02977,0.0194,-0.0532,0.8879,1
2,0.3816,0.03094,0.0206,-0.0549,0.8686,1
2.25,0.4143,0.03198,0.02168,-0.0559,0.8489,1
2.5,0.442,0.0329,0.02263,-0.056,0.8285,1
2.75,0.4731,0.03371,0.02351,-0.0562,0.8076,1
3,0.5041,0.03442,0.0243,-0.0558,0.7867,1
3.25,0.5293,0.03499,0.02495,-0.0547,0.764,1
3.5,0.5594,0.03529,0.02533,-0.0534,0.7434,1
3.75,0.582,0.03561,0.02574,-0.0516,0.7192,1
4,0.6116,0.03526,0.02552,-0.0489,0.6998,1
4.25,0.6332,0.03531,0.02566,-0.0466,0.6745,1
4.5,0.6602,0.03438,0.02483,-0.0428,0.6559,1
4.75,0.6825,0.03403,0.02459,-0.04,0.631,1
5,0.708,0.03273,0.0234,-0.0355,0.6123,1
5.25,0.731,0.03203,0.0228,-0.0322,0.5881,1
5.5,0.7552,0.03062,0.02143,-0.0275,0.5677,1
5.75,0.7782,0.02989,0.02077,-0.024,0.5415,1
6,0.8013,0.02904,0.01991,-0.0201,0.5158,1
6.25,0.8242,0.02838,0.01918,-0.0165,0.4884,1
6.5,0.8473,0.02831,0.01904,-0.0138,0.4579,1
6.75,0.8704,0.02863,0.01931,-0.0118,0.4263,1
7,0.8935,0.02926,0.01984,-0.0101,0.3954,1
7.25,0.9166,0.0302,0.02069,-0.0087,0.3658,1
7.5,0.9394,0.03137,0.02176,-0.0074,0.3371,1
7.75,0.9624,0.03265,0.02288,-0.0061,0.3108,1
8,0.9843,0.03447,0.02486,-0.0057,0.2843,1
8.25,1.0057,0.03637,0.02683,-0.0052,0.2607,1
8.5,1.027,0.03846,0.02903,-0.0046,0.2403,1
8.75,1.049,0.0403,0.03075,-0.0036,0.2213,1
9,1.0669,0.04298,0.03377,-0.0034,0.2048,1
9.25,1.0837,0.04566,0.03667,-0.003,0.1897,1
9.5,1.1015,0.04836,0.03948,-0.0024,0.1768,1
9.75,1.1062,0.05258,0.04433,-0.0026,0.1676,1
10,1.1118,0.05641,0.04844,-0.0024,0.1587,1
10.25,1.1095,0.06102,0.05344,-0.0025,0.1533,1
10.5,1.1144,0.065,0.05754,-0.002,0.147,1
10.75,1.0921,0.07108,0.06398,-0.0032,0.1466,1
11,1.0657,0.07728,0.07036,-0.0048,0.1474,1
11.25,1.0396,0.08388,0.07704,-0.0067,0.1483,1
