Alpha,CL,CD,CDp,CM,X,Y
0,0.3415,0.02999,0.02029,-0.0762,0.9264,1
0.25,0.3901,0.0305,0.02057,-0.0803,0.9042,1
0.5,0.4483,0.03076,0.02065,-0.0853,0.8843,1
0.75,0.485,0.03106,0.02085,-0.0868,0.8605,1
1,0.5368,0.03096,0.02068,-0.0902,0.841,1
1.25,0.5781,0.03094,0.02062,-0.0918,0.8203,1
1.5,0.6179,0.03081,0.02047,-0.0929,0.8,1
1.75,0.6616,0.03035,0.01999,-0.0941,0.7818,1
2,0.6996,0.02993,0.01956,-0.0943,0.7624,1
2.25,0.7313,0.02968,0.01934,-0.0935,0.7408,1
2.5,0.77,0.02899,0.01862,-0.0933,0.7221,1
2.75,0.801,0.02872,0.01835,-0.0924,0.7013,1
3,0.8308,0.02854,0.01819,-0.0913,0.6803,1
3.25,0.8649,0.02808,0.01768,-0.0906,0.6612,1
3.5,0.8893,0.02833,0.01792,-0.0892,0.6392,1
3.75,0.9174,0.02841,0.01802,-0.0881,0.6196,1
4,0.9463,0.02858,0.01815,-0.0874,0.6018,1
4.25,0.9725,0.02899,0.01854,-0.0865,0.5841,1
4.5,0.9948,0.02971,0.01931,-0.0853,0.566,1
4.75,1.0185,0.03034,0.02001,-0.0843,0.5491,1
5,1.0425,0.03099,0.0207,-0.0833,0.5329,1
5.25,1.0668,0.03151,0.02123,-0.0823,0.5161,1
5.5,1.0924,0.03177,0.02149,-0.0811,0.4982,1
5.75,1.1184,0.03203,0.02168,-0.0801,0.4803,1
6,1.1376,0.03279,0.02254,-0.0785,0.462,1
6.25,1.1585,0.03347,0.02329,-0.0772,0.4443,1
6.5,1.18,0.03419,0.0241,-0.0759,0.4274,1
6.75,1.2013,0.03507,0.02507,-0.0747,0.4115,1
7,1.222,0.03607,0.02617,-0.0735,0.3958,1
7.25,1.242,0.03725,0.02748,-0.0723,0.3806,1
7.5,1.261,0.03858,0.02899,-0.0711,0.3657,1
7.75,1.2788,0.0401,0.03067,-0.0697,0.3513,1
8,1.2956,0.04163,0.03236,-0.0682,0.3371,1
8.25,1.312,0.04297,0.03385,-0.0666,0.3227,1
8.5,1.3276,0.04446,0.0355,-0.065,0.3097,1
8.75,1.3457,0.04606,0.03729,-0.0638,0.2986,1
9,1.3682,0.04727,0.03855,-0.0629,0.2864,1
9.25,1.3684,0.04987,0.04156,-0.06,0.2758,1
9.5,1.3754,0.05173,0.04364,-0.0576,0.2634,1
9.75,1.4084,0.05036,0.04199,-0.0569,0.2426,1
10,1.4145,0.05123,0.04299,-0.0542,0.2272,1
10.25,1.4206,0.05212,0.04401,-0.0515,0.2126,1
10.5,1.4247,0.05293,0.04489,-0.0486,0.1985,1
10.75,1.4096,0.05559,0.04794,-0.0445,0.1897,1
11,1.4038,0.05746,0.04995,-0.041,0.1801,1
11.25,1.403,0.05872,0.05125,-0.038,0.1688,1
11.5,1.3957,0.05962,0.05212,-0.0348,0.1565,1
11.75,1.3877,0.06117,0.05361,-0.0321,0.1441,1
12,1.3796,0.06374,0.05608,-0.0299,0.1311,1
12.25,1.3562,0.06863,0.06131,-0.0285,0.1263,1
12.5,1.3461,0.07259,0.0652,-0.0272,0.1155,1
12.75,1.3217,0.07838,0.07129,-0.0273,0.1129,1
13,1.3165,0.08245,0.07528,-0.0266,0.104,1
13.25,1.2894,0.08926,0.08236,-0.0282,0.1039,1
13.5,1.2612,0.09689,0.09023,-0.0308,0.1044,1
13.75,1.2328,0.10537,0.09888,-0.0343,0.1052,1
