Alpha,CL,CD,CDp,CM,X,Y
0,0,0.04206,0.03373,0,0.7319,0.7319
0.25,0.0206,0.04261,0.03434,0.0014,0.7155,0.7427
0.5,0.0351,0.04251,0.03422,0.0032,0.7036,0.7572
0.75,0.0518,0.04252,0.03422,0.005,0.6905,0.7722
1,0.0731,0.04295,0.0347,0.0059,0.676,0.7845
1.25,0.1055,0.0425,0.03422,0.0067,0.6654,0.8002
1.5,0.1014,0.04325,0.03501,0.0094,0.6509,0.8153
1.75,0.1562,0.04302,0.03477,0.0076,0.6385,0.8288
2,0.1702,0.04348,0.03527,0.0087,0.6244,0.8442
2.25,0.183,0.04397,0.03578,0.0099,0.6119,0.8605
2.5,0.2434,0.04345,0.03524,0.0072,0.599,0.8757
2.75,0.2744,0.04447,0.03633,0.0048,0.5824,0.8903
3,0.3254,0.04472,0.0366,0.0011,0.5679,0.9051
3.25,0.3946,0.04348,0.03531,-0.0027,0.5546,0.9201
3.5,0.4217,0.04498,0.03693,-0.0058,0.538,0.9361
3.75,0.4678,0.04551,0.0375,-0.0099,0.5226,0.9519
4,0.544,0.04323,0.03509,-0.0137,0.5107,0.9667
4.25,0.5847,0.04466,0.03667,-0.0193,0.4927,0.9829
4.5,0.6302,0.04587,0.03799,-0.0252,0.4757,0.999
4.75,0.6582,0.04419,0.03614,-0.0228,0.4688,1
5,0.607,0.04986,0.04206,-0.021,0.4574,1
5.25,0.6251,0.04878,0.04088,-0.018,0.45,1
5.5,0.5657,0.05331,0.04546,-0.0138,0.4437,1
5.75,0.4427,0.059,0.05102,-0.0059,0.4437,1
6,0.3771,0.06351,0.05533,-0.0031,0.4404,1
6.25,0.3849,0.06552,0.05727,-0.003,0.4318,1
6.5,0.3947,0.06775,0.05942,-0.003,0.4234,1
6.75,0.3733,0.07233,0.06393,-0.0043,0.4192,1
7,0.429,0.07146,0.06305,-0.0027,0.4059,1
7.25,0.3991,0.07711,0.06864,-0.0048,0.4038,1
7.5,0.3864,0.08159,0.07309,-0.0064,0.4024,1
7.75,0.3819,0.08575,0.07722,-0.008,0.4025,1
8,0.3872,0.08982,0.08129,-0.0095,0.4045,1
8.25,0.4046,0.09394,0.08542,-0.0108,0.4065,1
8.5,0.3287,0.10396,0.09549,-0.0189,0.4869,1
8.75,0.3326,0.10557,0.09708,-0.0188,0.4732,1
9,0.356,0.11009,0.10159,-0.0199,0.4668,1
9.25,0.3492,0.11099,0.10248,-0.0198,0.4539,1
9.5,0.3847,0.11656,0.10806,-0.021,0.4468,1
9.75,0.3661,0.11663,0.10809,-0.0209,0.4352,1
10,0.4179,0.12367,0.11516,-0.0222,0.427,1
10.25,0.384,0.12247,0.11392,-0.0221,0.4173,1
10.5,0.4161,0.12712,0.1186,-0.0228,0.4084,1
