Alpha,CL,CD,CDp,CM,X,Y
0,0.0923,0.0283,0.01883,-0.0515,0.934,1
0.25,0.1289,0.02917,0.01944,-0.0542,0.9227,1
0.5,0.1701,0.03007,0.02009,-0.0576,0.9117,1
0.75,0.1992,0.03083,0.02067,-0.0589,0.8996,1
1,0.228,0.03162,0.0213,-0.0601,0.8874,1
1.25,0.2585,0.03244,0.02198,-0.0616,0.8756,1
1.5,0.2929,0.03327,0.02269,-0.0635,0.864,1
1.75,0.331,0.03406,0.02338,-0.0659,0.8528,1
2,0.3528,0.03491,0.02415,-0.0658,0.8403,1
2.25,0.3768,0.03579,0.02498,-0.0661,0.8282,1
2.5,0.4044,0.03668,0.02582,-0.0668,0.8167,1
2.75,0.438,0.03749,0.02662,-0.0683,0.8054,1
3,0.4697,0.03829,0.02741,-0.0694,0.7938,1
3.25,0.4889,0.03931,0.02843,-0.069,0.7811,1
3.5,0.5098,0.04036,0.02948,-0.0687,0.7685,1
3.75,0.5337,0.04137,0.03053,-0.0688,0.756,1
4,0.5609,0.04229,0.03149,-0.0691,0.7433,1
4.25,0.5924,0.04306,0.03232,-0.0698,0.7308,1
4.5,0.6307,0.04354,0.03291,-0.071,0.7185,1
4.75,0.6509,0.04458,0.03402,-0.0703,0.7045,1
5,0.6711,0.04566,0.03516,-0.0697,0.6906,1
5.25,0.6911,0.04678,0.03636,-0.069,0.6765,1
5.5,0.7088,0.04806,0.03776,-0.0681,0.6626,1
5.75,0.727,0.04934,0.03913,-0.0673,0.6486,1
6,0.7433,0.05077,0.04066,-0.0664,0.6347,1
6.25,0.7605,0.05214,0.04214,-0.0655,0.6206,1
6.5,0.777,0.05358,0.04372,-0.0646,0.6068,1
6.75,0.7951,0.05491,0.04518,-0.0637,0.5926,1
7,0.8132,0.05622,0.04663,-0.0627,0.5783,1
7.25,0.8325,0.05739,0.04795,-0.0617,0.5633,1
7.5,0.8549,0.05819,0.04893,-0.0606,0.5476,1
7.75,0.8982,0.05685,0.0479,-0.0592,0.5306,1
8,1.0333,0.04677,0.03853,-0.0598,0.511,1
8.25,1.031,0.04889,0.04078,-0.0567,0.4921,1
8.5,1.1295,0.04228,0.03464,-0.0574,0.4667,1
8.75,1.1646,0.04004,0.03258,-0.0548,0.4347,1
9,1.1953,0.03486,0.02716,-0.0497,0.3806,1
9.25,1.1971,0.03447,0.02671,-0.0447,0.3406,1
9.5,1.1904,0.03495,0.02693,-0.0391,0.2949,1
9.75,1.1735,0.03645,0.02804,-0.033,0.2495,1
10,1.1542,0.03889,0.02995,-0.0277,0.2066,1
10.25,1.1409,0.04198,0.03265,-0.0238,0.1688,1
10.5,1.1403,0.04486,0.03525,-0.0211,0.1419,1
10.75,1.1616,0.04761,0.03774,-0.0197,0.1205,1
11,1.1932,0.05059,0.04073,-0.0194,0.1063,1
11.25,1.2299,0.05415,0.04429,-0.0202,0.0963,1
11.5,1.237,0.05761,0.04824,-0.0183,0.0935,1
11.75,1.2402,0.06126,0.05228,-0.0165,0.0915,1
12,1.2377,0.0649,0.05627,-0.0146,0.0899,1
12.25,1.2306,0.06867,0.06034,-0.0129,0.089,1
12.5,1.2281,0.07246,0.06431,-0.0118,0.0871,1
12.75,1.2392,0.07745,0.06929,-0.0116,0.0845,1
13.25,1.1324,0.08939,0.08219,-0.0128,0.0915,1
13.5,1.0997,0.09696,0.08996,-0.016,0.0933,1
13.75,1.0699,0.10516,0.09828,-0.02,0.0949,1
14,1.0449,0.11373,0.10691,-0.0243,0.0962,1
14.25,1.0273,0.12204,0.11526,-0.0282,0.0972,1
14.5,0.9395,0.14955,0.1426,-0.0479,0.1115,1
14.75,0.9154,0.16276,0.15565,-0.0558,0.1218,1
15,0.9199,0.16847,0.16136,-0.0575,0.123,1
