Alpha,CL,CD,CDp,CM,X,Y
0,0.0106,0.0283,0.01739,-0.0043,1,1
0.25,0.011,0.0281,0.01721,-0.0012,1,1
0.5,0.0106,0.02792,0.01706,0.002,1,1
0.75,0.0093,0.02776,0.01692,0.0054,1,1
1,0.0071,0.02762,0.01681,0.0088,1,1
1.25,0.0041,0.02748,0.0167,0.0123,1,1
1.5,0.0007,0.02735,0.0166,0.0159,1,1
1.75,-0.0029,0.02725,0.01652,0.0194,1,1
2,-0.0055,0.02718,0.01647,0.0227,1,1
2.25,-0.0058,0.02718,0.0165,0.0256,1,1
2.5,-0.0005,0.02736,0.01669,0.0274,1,1
2.75,0.0098,0.02771,0.01706,0.0284,1,1
3,0.0232,0.02821,0.01759,0.0288,1,1
3.25,0.0383,0.02883,0.01824,0.0288,1,1
3.5,0.0544,0.02955,0.01902,0.0286,1,1
3.75,0.0734,0.03042,0.01996,0.0278,0.9988,1
4,0.148,0.03257,0.02233,0.0168,0.972,1
4.25,0.215,0.03391,0.02393,0.0082,0.9404,1
4.5,0.2954,0.03433,0.0247,-0.0009,0.898,1
4.75,0.3815,0.03368,0.02447,-0.0093,0.8599,1
5,0.4381,0.03267,0.02387,-0.0123,0.8242,1
5.25,0.5901,0.02506,0.01725,-0.0201,0.7332,1
5.5,0.641,0.02353,0.01403,-0.0152,0.4049,1
5.75,0.6449,0.02579,0.01513,-0.0108,0.3009,1
6,0.6773,0.02798,0.01675,-0.0116,0.2433,1
6.25,0.7177,0.02988,0.01853,-0.0135,0.2158,1
6.5,0.7493,0.0316,0.02016,-0.014,0.1991,1
6.75,0.7766,0.0334,0.02211,-0.0138,0.1883,1
7,0.806,0.03566,0.02433,-0.0141,0.1808,1
7.25,0.8221,0.03743,0.02655,-0.0119,0.1748,1
7.5,0.8445,0.03958,0.02871,-0.0112,0.1678,1
7.75,0.8611,0.04218,0.03168,-0.0094,0.1649,1
8,0.8715,0.04466,0.03467,-0.0066,0.1622,1
8.25,0.8807,0.04725,0.03766,-0.004,0.1586,1
8.5,0.8904,0.05011,0.04084,-0.0016,0.156,1
8.75,0.8951,0.05349,0.04461,0.0011,0.1557,1
9,0.8988,0.05692,0.04836,0.0037,0.1546,1
9.5,0.878,0.06497,0.05722,0.0103,0.1566,1
9.75,0.8561,0.06976,0.06233,0.0134,0.1601,1
10,0.8413,0.07461,0.06735,0.0153,0.1632,1
10.25,0.5924,0.11611,0.10878,-0.0219,0.4018,1
