Alpha,CL,CD,CDp,CM,X,Y
0,0.1944,0.03424,0.02521,-0.0465,0.8613,1
0.25,0.2347,0.03494,0.02572,-0.0487,0.8422,1
0.5,0.2852,0.03553,0.02613,-0.0523,0.8232,1
0.75,0.323,0.03597,0.02642,-0.0535,0.8042,1
1,0.3419,0.0364,0.02675,-0.0519,0.7838,1
1.25,0.3705,0.03666,0.02691,-0.0514,0.7639,1
1.5,0.4039,0.03668,0.02684,-0.0511,0.7447,1
1.75,0.4378,0.03644,0.02653,-0.0504,0.7265,1
2,0.4704,0.03598,0.02598,-0.0491,0.709,1
2.25,0.4856,0.03614,0.02609,-0.0465,0.6864,1
2.5,0.513,0.03561,0.0255,-0.0444,0.6675,1
2.75,0.5417,0.03477,0.0246,-0.0421,0.6497,1
3,0.5705,0.0338,0.02356,-0.0396,0.6325,1
3.25,0.5991,0.03276,0.02244,-0.0369,0.6154,1
3.5,0.6274,0.03166,0.02126,-0.0342,0.5983,1
3.75,0.6501,0.03133,0.02085,-0.0319,0.5771,1
4,0.6747,0.03087,0.02029,-0.0296,0.557,1
4.25,0.7008,0.03031,0.01962,-0.0274,0.5381,1
4.5,0.7268,0.02996,0.01912,-0.0254,0.5199,1
4.75,0.7524,0.02982,0.0188,-0.0237,0.5022,1
5,0.7757,0.03021,0.01909,-0.0224,0.4838,1
5.25,0.7985,0.03086,0.01969,-0.0215,0.4666,1
5.5,0.8223,0.03145,0.02018,-0.0206,0.4512,1
5.75,0.8474,0.03195,0.02054,-0.0196,0.4373,1
6,0.8691,0.03303,0.02164,-0.0191,0.4234,1
6.25,0.8887,0.03453,0.02325,-0.0189,0.4109,1
6.5,0.9095,0.03589,0.02464,-0.0184,0.4,1
6.75,0.9373,0.03641,0.02501,-0.0177,0.3904,1
7,0.9497,0.03879,0.02766,-0.0177,0.38,1
7.25,0.9734,0.04005,0.02889,-0.0173,0.3726,1
7.5,0.9795,0.04318,0.03233,-0.0172,0.3647,1
7.75,1.0119,0.04361,0.0326,-0.0167,0.3582,1
8,0.9916,0.04933,0.03882,-0.0167,0.3517,1
8.25,1.0052,0.05156,0.04115,-0.0163,0.3456,1
8.5,1.0151,0.05446,0.04414,-0.0161,0.3411,1
8.75,0.743,0.09506,0.08484,-0.0324,0.3559,1
9,0.752,0.09953,0.08937,-0.0337,0.3586,1
