Alpha,CL,CD,CDp,CM,X,Y
0,0.0816,0.06095,0.05238,-0.0698,0.6984,0.4992
0.25,0.1253,0.06042,0.05185,-0.071,0.6913,0.5108
0.5,0.1272,0.06166,0.05303,-0.0707,0.6839,0.5186
0.75,0.1328,0.06278,0.0541,-0.0709,0.6764,0.5263
1,0.1616,0.06303,0.05436,-0.0712,0.6692,0.5374
1.25,0.1939,0.06338,0.05462,-0.073,0.6619,0.5502
1.5,0.1842,0.06552,0.05682,-0.0715,0.6558,0.5556
1.75,0.2017,0.06676,0.05797,-0.0729,0.6494,0.5671
2,0.2615,0.06578,0.05699,-0.0743,0.6409,0.5851
2.25,0.2463,0.06879,0.05995,-0.0742,0.6358,0.5913
2.5,0.244,0.0709,0.06215,-0.0736,0.6324,0.5983
2.75,0.2503,0.07285,0.06412,-0.0737,0.6289,0.6082
3,0.2643,0.07458,0.06585,-0.0745,0.6251,0.6201
3.25,0.2829,0.07626,0.06754,-0.0751,0.6217,0.6341
3.5,0.2989,0.07822,0.06954,-0.0758,0.6199,0.647
3.75,0.3173,0.08054,0.07183,-0.0772,0.6186,0.6626
4,0.3369,0.08273,0.07408,-0.0775,0.6159,0.678
4.25,0.2733,0.09355,0.08512,-0.0831,0.7136,0.6703
4.5,0.2463,0.09207,0.08367,-0.0785,0.6992,0.6756
4.75,0.2878,0.09519,0.08681,-0.0812,0.6911,0.6988
5,0.2818,0.09616,0.08777,-0.0796,0.6816,0.7107
5.25,0.3063,0.09796,0.08962,-0.0802,0.6696,0.7319
5.5,0.3559,0.10283,0.0946,-0.0833,0.6644,0.7636
5.75,0.3251,0.10122,0.09306,-0.079,0.6502,0.7714
6,0.3626,0.10423,0.09623,-0.0804,0.6425,0.8091
6.25,0.3514,0.10495,0.0971,-0.078,0.6334,0.8336
6.5,0.3652,0.10572,0.09816,-0.0769,0.6217,1
6.75,0.4244,0.11222,0.10441,-0.0843,0.6161,1
7,0.4023,0.11116,0.10332,-0.0821,0.601,1
7.25,0.4556,0.11664,0.10857,-0.0872,0.5943,1
7.5,0.4337,0.11676,0.10865,-0.0853,0.5832,1
7.75,0.4666,0.12024,0.11197,-0.0875,0.5737,1
8,0.4892,0.12459,0.11619,-0.0893,0.5686,1
8.25,0.4809,0.12481,0.11638,-0.0881,0.555,1
8.5,0.5252,0.13006,0.1215,-0.0906,0.5486,1
8.75,0.5031,0.13026,0.12168,-0.0891,0.5389,1
9,0.5258,0.13327,0.1246,-0.0899,0.5297,1
9.25,0.5788,0.14063,0.13186,-0.0928,0.5252,1
9.5,0.5386,0.13814,0.12938,-0.0904,0.5133,1
9.75,0.5674,0.14199,0.13317,-0.0914,0.5061,1
