Alpha,CL,CD,CDp,CM,X,Y
0,-0.1209,0.02606,0.01665,-0.0106,1,1
0.25,-0.1018,0.02658,0.01699,-0.011,1,1
0.5,-0.0766,0.02737,0.0176,-0.0125,0.9973,1
0.75,-0.0244,0.02911,0.0191,-0.0189,0.9831,1
1,0.0188,0.03039,0.02023,-0.0235,0.9686,1
1.25,0.0597,0.03162,0.02131,-0.0275,0.9542,1
1.5,0.0988,0.03277,0.02235,-0.0311,0.9395,1
1.75,0.1365,0.03387,0.02336,-0.0343,0.9246,1
2,0.1729,0.03493,0.02435,-0.0371,0.9092,1
2.25,0.2082,0.03596,0.02533,-0.0397,0.8937,1
2.5,0.2429,0.03696,0.02629,-0.0419,0.8777,1
2.75,0.2767,0.03793,0.02724,-0.044,0.8616,1
3,0.3101,0.03888,0.02819,-0.0458,0.8452,1
3.25,0.3433,0.03979,0.02912,-0.0475,0.8288,1
3.5,0.3774,0.04066,0.03001,-0.0491,0.8121,1
3.75,0.4123,0.04146,0.03085,-0.0507,0.7954,1
4,0.4484,0.04218,0.03164,-0.0522,0.7788,1
4.25,0.4857,0.04278,0.03231,-0.0537,0.7624,1
4.5,0.5105,0.04354,0.03314,-0.0536,0.7445,1
4.75,0.5344,0.0443,0.03399,-0.0534,0.7262,1
5,0.5642,0.04485,0.03464,-0.0536,0.7084,1
5.25,0.5985,0.04514,0.03504,-0.054,0.691,1
5.5,0.6368,0.04512,0.03518,-0.0545,0.6741,1
5.75,0.6795,0.04464,0.03487,-0.0551,0.6577,1
6,0.7039,0.04496,0.03531,-0.054,0.6387,1
6.25,0.7306,0.04505,0.03557,-0.053,0.6197,1
6.5,0.7775,0.04357,0.03431,-0.0528,0.6027,1
6.75,0.8424,0.04072,0.03177,-0.0536,0.5858,1
7,0.916,0.03706,0.02837,-0.0549,0.5668,1
7.25,0.9485,0.03628,0.02776,-0.0535,0.5427,1
7.5,0.9944,0.03474,0.02634,-0.0531,0.5162,1
7.75,1.0339,0.03384,0.02547,-0.0524,0.4869,1
8,1.0649,0.03367,0.0253,-0.0512,0.4566,1
8.25,1.0908,0.03396,0.02555,-0.0496,0.4262,1
8.5,1.1133,0.03455,0.02608,-0.0479,0.3961,1
8.75,1.1336,0.03539,0.02686,-0.046,0.3671,1
9,1.1525,0.03637,0.02779,-0.0441,0.3388,1
9.25,1.1716,0.03748,0.02878,-0.0423,0.3113,1
9.5,1.1862,0.03885,0.03014,-0.0402,0.286,1
9.75,1.1962,0.04049,0.03183,-0.0376,0.2632,1
10,1.2162,0.04198,0.03312,-0.0363,0.239,1
10.25,1.2204,0.04403,0.03537,-0.0333,0.2204,1
10.5,1.2289,0.04596,0.03738,-0.0308,0.2013,1
10.75,1.2446,0.04798,0.03922,-0.0292,0.181,1
11,1.2461,0.05025,0.04163,-0.0262,0.1658,1
11.25,1.2464,0.05249,0.04396,-0.0233,0.1515,1
11.5,1.2469,0.0548,0.04629,-0.0206,0.1381,1
11.75,1.2494,0.05719,0.04865,-0.0182,0.1256,1
12,1.2278,0.06034,0.05226,-0.0139,0.1226,1
12.25,1.2342,0.06312,0.05495,-0.0123,0.112,1
12.5,1.2099,0.06689,0.0591,-0.0092,0.1106,1
12.75,1.1851,0.07119,0.06373,-0.0072,0.1097,1
13,1.1588,0.07609,0.06892,-0.0062,0.1095,1
13.25,1.1314,0.08174,0.07481,-0.0064,0.1101,1
13.5,1.1021,0.08824,0.0815,-0.0078,0.111,1
13.75,1.0741,0.09543,0.08884,-0.0101,0.1121,1
