Throttle (%),Thrust (kg),Torque (N*m),Current (A),RPM,Inputpower (W),Efficiency (g/W),mass
40%,1.465,0.45,1.8,1584,86,16.96,273
42%,1.572,0.48,2,1631,96,16.38,273
44%,1.717,0.53,2.3,1692,110,15.55,273
46%,1.852,0.58,2.6,1748,125,14.84,273
48%,1.997,0.6,2.9,1810,139,14.35,273
50%,2.14,0.66,3.2,1872,154,13.93,273
52%,2.256,0.68,3.4,1928,163,13.82,273
54%,2.378,0.71,3.7,1988,178,13.39,273
56%,2.528,0.77,4.1,2047,197,12.85,273
58%,2.757,0.84,4.6,2124,221,12.49,273
60%,2.957,0.9,5.1,2190,245,12.08,273
62%,3.027,0.91,5.3,2232,254,11.9,273
64%,3.171,0.95,5.7,2287,274,11.59,273
66%,3.307,1,6.2,2349,298,11.11,273
68%,3.448,1.04,6.6,2384,317,10.88,273
70%,3.662,1.08,7.1,2439,341,10.75,273
75%,4.043,1.17,8.2,2570,394,10.27,273
80%,4.468,1.28,9.5,2680,456,9.8,273
90%,5.248,1.47,12.2,2917,586,8.96,273
100%,6.352,1.8,16.5,3200,792,8.02,273
