,Alpha,CL,CD,CDp,Cm,X,Y
,0,-0.1046,0.04055,0.03139,-0.0313,1,0.6099
,0.25,-0.0728,0.04005,0.03085,-0.0348,1,0.6081
,0.5,-0.0396,0.03969,0.03042,-0.0386,1,0.6069
,0.75,-0.0061,0.03942,0.03012,-0.0425,1,0.6057
,1,0.0279,0.03925,0.02991,-0.0465,1,0.6042
,1.25,0.0614,0.03919,0.02983,-0.0504,1,0.6032
,1.5,0.0924,0.03924,0.02988,-0.0535,1,0.604
,1.75,0.1227,0.03941,0.03005,-0.0565,1,0.6054
,2,0.1528,0.03967,0.03034,-0.0596,1,0.6069
,2.25,0.1827,0.04003,0.03073,-0.0626,1,0.608
,2.5,0.2122,0.04049,0.03123,-0.0655,1,0.609
,2.75,0.2416,0.04108,0.03188,-0.0686,1,0.611
,3,0.2647,0.04168,0.03259,-0.07,1,0.6138
,3.25,0.2876,0.04241,0.03344,-0.0715,1,0.6169
,3.5,0.3114,0.04329,0.03443,-0.0734,1,0.6202
,3.75,0.4119,0.04535,0.03667,-0.0885,0.9618,0.627
,4,0.5179,0.04507,0.03674,-0.1009,0.9126,0.6365
,4.25,0.5912,0.04437,0.03633,-0.108,0.8826,0.6457
,4.5,0.6577,0.04262,0.03494,-0.1124,0.8479,0.6546
,4.75,0.7301,0.04025,0.033,-0.1168,0.8201,0.6641
,5,0.8157,0.03468,0.02806,-0.1186,0.7741,0.6787
,5.25,0.8706,0.02937,0.02322,-0.1144,0.6923,0.692
,5.5,0.9058,0.02903,0.02026,-0.1087,0.2969,0.703
,5.75,0.9195,0.03104,0.02167,-0.1067,0.2439,0.7115
,6,0.9457,0.03257,0.02293,-0.1064,0.2139,0.7235
,6.25,0.9888,0.03399,0.02429,-0.1083,0.1901,0.7412
,6.5,1.0602,0.03629,0.02635,-0.1146,0.1649,0.7701
,6.75,1.1119,0.03878,0.02894,-0.1177,0.1502,0.8033
,7,1.1415,0.04067,0.03127,-0.1169,0.1424,0.8502
,7.25,1.1806,0.04388,0.03476,-0.119,0.135,1
,7.5,1.2229,0.04806,0.03937,-0.122,0.1311,1
,7.75,1.2495,0.05196,0.0436,-0.1219,0.1287,1
,8,1.2698,0.05586,0.04778,-0.1208,0.1263,1
,8.25,1.2784,0.05997,0.05251,-0.1177,0.1285,1
,8.5,1.2831,0.06469,0.05777,-0.1146,0.1327,1
,8.75,1.2936,0.07001,0.06335,-0.1128,0.1362,1
,9,1.2727,0.07437,0.06854,-0.1073,0.1439,1
,9.25,1.2677,0.08012,0.07458,-0.1048,0.1497,1
,9.5,1.2282,0.08525,0.08026,-0.1,0.1588,1
,10,1.0881,0.09421,0.08997,-0.0837,0.1667,1
,10.25,1.0229,0.10075,0.0967,-0.083,0.1661,1
