Throttle (%),Thrust (kg),Current (A)
1.0,-0.034984639411778005,0.21831433000947859
2.0,-0.034772449706809164,0.22864090561018813
3.0,-0.03473437036822064,0.239874903972621
4.0,-0.03469629102963211,0.2511089023350539
5.0,-0.034233402800295465,0.26960677098457897
6.0,-0.033484249485033424,0.29299952883527725
7.0,-0.03273509616977138,0.3163922866859756
8.0,-0.03129247424408744,0.3497053884076945
9.0,-0.029712111528024568,0.38498892683713093
10.0,-0.028104194715137813,0.42095621858132076
11.0,-0.0258787062048129,0.4722485161829055
12.0,-0.02365321769448799,0.5235408137844901
13.0,-0.021287868056873823,0.5794873244785718
14.0,-0.018579325244688152,0.6468544078314367
15.0,-0.015870782432502485,0.7142214911843016
16.0,-0.012732088437247923,0.7953784150550577
17.0,-0.009200523998740606,0.8891300288159985
18.0,-0.005668959560233288,0.9828816425769391
19.0,-0.0017832856798317962,1.0928454781912946
20.0,0.0021984725134102153,1.2072083498439745
21.0,0.006180230706652226,1.3215712214966544
22.0,0.010373700799419731,1.4613586986458236
23.0,0.014569858931419412,1.6014689839942025
24.0,0.01884453883047712,1.7450983102908757
25.0,0.023714855738732953,1.915421776368417
26.0,0.028585172646988788,2.085745242445958
27.0,0.03357962057724709,2.270089246237239
28.0,0.03875570151240753,2.474948608350792
29.0,0.04393178244756798,2.6798079704643447
30.0,0.04924476504009866,2.9070356780164825
31.0,0.05464020496025658,3.1477360784763495
32.0,0.06003564488041449,3.388436478936216
33.0,0.06594423783146304,3.65798714323694
34.0,0.07197560436414129,3.9344403298058386
35.0,0.07800188290046477,4.211514786986744
36.0,0.08393795289823161,4.499604172255178
37.0,0.08987402289599844,4.787693557523611
38.0,0.09560637346586973,5.083363985499592
39.0,0.1007762171392745,5.399967069970116
40.0,0.10594606081267927,5.7165701544406415
41.0,0.1116152032321186,6.056276413051695
42.0,0.11792845732754105,6.425786520229102
43.0,0.1242417114229635,6.79529662740651
44.0,0.13053838036240917,7.1878340275552635
45.0,0.13681713352780933,7.605246187901144
46.0,0.14309588669320952,8.022658348247024
47.0,0.14891465990950142,8.465854770904054
48.0,0.15451496656520636,8.921297377585647
49.0,0.16011527322091132,9.376739984267239
50.0,0.16603409024304505,9.869183531842703
51.0,0.17201869939062478,10.369270066276657
52.0,0.1779870601824946,10.87392936172265
53.0,0.18376909032300023,11.431027534869198
54.0,0.1895511204635059,11.988125708015746
55.0,0.19553361659771956,12.54331822236378
56.0,0.20195273436839117,13.094360148136927
57.0,0.2083718521390628,13.645402073910073
58.0,0.21463707399717283,14.228055413415241
59.0,0.2207873609012557,14.834317283670494
60.0,0.22693764780533857,15.440579153925746
61.0,0.23319626753925213,16.073701513309736
62.0,0.23948587896895618,16.71450808171109
63.0,0.24577549039866023,17.355314650112444
64.0,0.2522086041464102,17.990693394118978
65.0,0.25864502326937394,18.625947115781177
66.0,0.26499077071709976,19.266014198799386
67.0,0.27084657526421185,19.932090200460355
68.0,0.27670237981132395,20.598166202121327
69.0,0.28248504798631136,21.272620033383742
70.0,0.2875432259868175,22.030064790411277
71.0,0.29260140398732354,22.78750954743881
72.0,0.29765958198782966,23.544954304466344
73.0,0.30294135137411243,24.326067199867435
74.0,0.3084078381310727,25.126733246987712
75.0,0.31387432488803296,25.927399294107992
76.0,0.3192908029936767,26.725136590541172
77.0,0.323680445407042,27.462737377388088
78.0,0.3280700878204073,28.200338164235003
79.0,0.33245973023377257,28.937938951081914
80.0,0.3360320019615096,29.65788322614443
81.0,0.3393823159602035,30.373032859892554
82.0,0.3427326299588974,31.088182493640677
83.0,0.34566961710790167,31.798923292537758
84.0,0.34832666813548724,32.506678095898614
85.0,0.3509837191630728,33.21443289925948
86.0,0.35421156333000775,33.90114074852993
87.0,0.3578470785263968,34.57281647346426
88.0,0.36148259372278585,35.24449219839858
89.0,0.3643860404304005,35.949372131863896
90.0,0.3670758971124682,36.6639398033717
