Throttle (%),Thrust (kg),Torque (N*m),Current (A),RPM,Inputpower (W),Efficiency (g/W),mass
50,0.49352,n/a,6.41,18316,150.03,,0.0333
55,0.58146,n/a,7.92,19747,185.23,3.14,0.0333
60,0.65387,n/a,9.55,21319,222.98,2.93,0.0333
65,0.7687,n/a,11.75,22424,273.63,2.81,0.0333
70,0.85655,n/a,13.87,23931,322.48,2.66,0.0333
75,0.93501,n/a,15.88,24948,368.3,2.54,0.0333
80,1.02678,n/a,18.3,26189,423.5,2.42,0.0333
85,1.12045,n/a,20.67,27252,477.17,2.35,0.0333
90,1.20663,n/a,23.29,27889,536.32,2.25,0.0333
95,1.29867,n/a,26.2,29387,601.44,2.16,0.0333
100,1.45396,n/a,31.07,30778,709.3,2.05,0.0333
