# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,RUKYRFGLOR,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,26,17
# x,y,z,u,w
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, -4.336808689942017736e-19, 1.445602896647339165e-19, 0.000000000000000000e+00, 2.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, 1.156482317317871332e-18, 0.000000000000000000e+00, 5.000000000000000000e-01
-1.156482317317871332e-18, -4.336808689942017736e-19, 1.445602896647339165e-19, 0.000000000000000000e+00, 7.500000000000000000e-01
-2.312964634635742664e-18, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
-1.156482317317871332e-18, 0.000000000000000000e+00, 1.445602896647339165e-19, 0.000000000000000000e+00, 1.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 1.156482317317871332e-18, 0.000000000000000000e+00, 1.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 1.445602896647339165e-19, 0.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -4.336808689942017736e-19, 0.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 6.419766481290785820e-35, -4.336808689942017736e-19, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 5.135813185032628656e-34, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 6.419766481290785820e-35, -4.336808689942017736e-19, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.500000000000000000e+00
0.000000000000000000e+00, -4.336808689942017736e-19, -6.505213034913026604e-19, 0.000000000000000000e+00, 3.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
7.797714662680197903e-03, 7.954290894225841957e-03, 0.000000000000000000e+00, 2.000000000000000111e-01, 0.000000000000000000e+00
7.797714662680197903e-03, 7.297293023665924958e-03, -3.000438197211397623e-03, 2.000000000000000111e-01, 2.500000000000000000e-01
7.797714662680197903e-03, 5.539438998213908061e-03, -5.539438998213906326e-03, 2.000000000000000111e-01, 5.000000000000000000e-01
7.797714662680194433e-03, 3.000438197211397623e-03, -7.297293023665921488e-03, 2.000000000000000111e-01, 7.500000000000000000e-01
7.797714662680192699e-03, -6.661338147750941307e-19, -7.954290894225838487e-03, 2.000000000000000111e-01, 1.000000000000000000e+00
7.797714662680193566e-03, -3.000438197211400225e-03, -7.297293023665921488e-03, 2.000000000000000111e-01, 1.250000000000000000e+00
7.797714662680197903e-03, -5.539438998213908061e-03, -5.539438998213906326e-03, 2.000000000000000111e-01, 1.500000000000000000e+00
7.797714662680196168e-03, -7.297293023665924958e-03, -3.000438197211397623e-03, 2.000000000000000111e-01, 1.750000000000000000e+00
7.797714662680197903e-03, -7.954290894225841957e-03, -4.673514089966997519e-19, 2.000000000000000111e-01, 2.000000000000000000e+00
7.797714662680197903e-03, -7.297293023665924958e-03, 3.000438197211397623e-03, 2.000000000000000111e-01, 2.250000000000000000e+00
7.797714662680198770e-03, -5.539438998213908061e-03, 5.539438998213908061e-03, 2.000000000000000111e-01, 2.500000000000000000e+00
7.797714662680198770e-03, -3.000438197211400225e-03, 7.297293023665924958e-03, 2.000000000000000111e-01, 2.750000000000000000e+00
7.797714662680199638e-03, -1.035481212593480347e-18, 7.954290894225841957e-03, 2.000000000000000111e-01, 3.000000000000000000e+00
7.797714662680197903e-03, 3.000438197211397623e-03, 7.297293023665924958e-03, 2.000000000000000111e-01, 3.250000000000000000e+00
7.797714662680198770e-03, 5.539438998213908061e-03, 5.539438998213908061e-03, 2.000000000000000111e-01, 3.500000000000000000e+00
7.797714662680197903e-03, 7.297293023665924958e-03, 3.000438197211398490e-03, 2.000000000000000111e-01, 3.750000000000000000e+00
7.797714662680198770e-03, 7.954290894225841957e-03, 0.000000000000000000e+00, 2.000000000000000111e-01, 4.000000000000000000e+00
1.742584856136714100e-02, 1.717357725600407101e-02, 0.000000000000000000e+00, 4.000000000000000222e-01, 0.000000000000000000e+00
1.742584856136714100e-02, 1.578766574050122912e-02, -6.575751238494016541e-03, 4.000000000000000222e-01, 2.500000000000000000e-01
1.742584856136714100e-02, 1.204668177666281918e-02, -1.204668177666281745e-02, 4.000000000000000222e-01, 5.000000000000000000e-01
1.742584856136713753e-02, 6.575751238494016541e-03, -1.578766574050122912e-02, 4.000000000000000222e-01, 7.500000000000000000e-01
1.742584856136713059e-02, -7.494005416219805600e-19, -1.717357725600406754e-02, 4.000000000000000222e-01, 1.000000000000000000e+00
1.742584856136713059e-02, -6.575751238494018276e-03, -1.578766574050122912e-02, 4.000000000000000222e-01, 1.250000000000000000e+00
1.742584856136714100e-02, -1.204668177666281918e-02, -1.204668177666281745e-02, 4.000000000000000222e-01, 1.500000000000000000e+00
1.742584856136714100e-02, -1.578766574050122912e-02, -6.575751238494016541e-03, 4.000000000000000222e-01, 1.750000000000000000e+00
1.742584856136714100e-02, -1.717357725600407448e-02, -5.257703351212869922e-19, 4.000000000000000222e-01, 2.000000000000000000e+00
1.742584856136714100e-02, -1.578766574050122912e-02, 6.575751238494016541e-03, 4.000000000000000222e-01, 2.250000000000000000e+00
1.742584856136714447e-02, -1.204668177666281918e-02, 1.204668177666281918e-02, 4.000000000000000222e-01, 2.500000000000000000e+00
1.742584856136714447e-02, -6.575751238494018276e-03, 1.578766574050122912e-02, 4.000000000000000222e-01, 2.750000000000000000e+00
1.742584856136714447e-02, -1.164916364167665343e-18, 1.717357725600407101e-02, 4.000000000000000222e-01, 3.000000000000000000e+00
1.742584856136714100e-02, 6.575751238494016541e-03, 1.578766574050122912e-02, 4.000000000000000222e-01, 3.250000000000000000e+00
1.742584856136714100e-02, 1.204668177666281745e-02, 1.204668177666281918e-02, 4.000000000000000222e-01, 3.500000000000000000e+00
1.742584856136714100e-02, 1.578766574050122912e-02, 6.575751238494016541e-03, 4.000000000000000222e-01, 3.750000000000000000e+00
1.742584856136714100e-02, 1.717357725600407101e-02, 0.000000000000000000e+00, 4.000000000000000222e-01, 4.000000000000000000e+00
2.846012512871397629e-02, 2.591571817066938219e-02, 0.000000000000000000e+00, 5.999999999999999778e-01, 0.000000000000000000e+00
2.846012512871398670e-02, 2.385416262162147472e-02, -1.001265720952463495e-02, 5.999999999999999778e-01, 2.500000000000000000e-01
2.846012512871398670e-02, 1.825859352565250421e-02, -1.825859352565250768e-02, 5.999999999999999778e-01, 5.000000000000000000e-01
2.846012512871397282e-02, 1.001265720952463321e-02, -2.385416262162147472e-02, 5.999999999999999778e-01, 7.500000000000000000e-01
2.846012512871396935e-02, -4.996003610813205017e-19, -2.591571817066937872e-02, 5.999999999999999778e-01, 1.000000000000000000e+00
2.846012512871396935e-02, -1.001265720952463668e-02, -2.385416262162147472e-02, 5.999999999999999778e-01, 1.250000000000000000e+00
2.846012512871398323e-02, -1.825859352565251115e-02, -1.825859352565250768e-02, 5.999999999999999778e-01, 1.500000000000000000e+00
2.846012512871397629e-02, -2.385416262162147472e-02, -1.001265720952463495e-02, 5.999999999999999778e-01, 1.750000000000000000e+00
2.846012512871397629e-02, -2.591571817066938219e-02, -3.505135567475247417e-19, 5.999999999999999778e-01, 2.000000000000000000e+00
2.846012512871397629e-02, -2.385416262162147472e-02, 1.001265720952463495e-02, 5.999999999999999778e-01, 2.250000000000000000e+00
2.846012512871399017e-02, -1.825859352565251115e-02, 1.825859352565251115e-02, 5.999999999999999778e-01, 2.500000000000000000e+00
2.846012512871399017e-02, -1.001265720952463668e-02, 2.385416262162147472e-02, 5.999999999999999778e-01, 2.750000000000000000e+00
2.846012512871399017e-02, -7.766109094451103568e-19, 2.591571817066938219e-02, 5.999999999999999778e-01, 3.000000000000000000e+00
2.846012512871398670e-02, 1.001265720952463321e-02, 2.385416262162147472e-02, 5.999999999999999778e-01, 3.250000000000000000e+00
2.846012512871398670e-02, 1.825859352565250421e-02, 1.825859352565251115e-02, 5.999999999999999778e-01, 3.500000000000000000e+00
2.846012512871397629e-02, 2.385416262162147472e-02, 1.001265720952463668e-02, 5.999999999999999778e-01, 3.750000000000000000e+00
2.846012512871398323e-02, 2.591571817066938219e-02, 0.000000000000000000e+00, 5.999999999999999778e-01, 4.000000000000000000e+00
4.047626779737388547e-02, 3.243857272355646360e-02, 0.000000000000000000e+00, 8.000000000000000444e-01, 0.000000000000000000e+00
4.047626779737389935e-02, 2.987982813814221011e-02, -1.259787419598003971e-02, 8.000000000000000444e-01, 2.500000000000000000e-01
4.047626779737389935e-02, 2.291203943548875827e-02, -2.291203943548875827e-02, 8.000000000000000444e-01, 5.000000000000000000e-01
4.047626779737388547e-02, 1.259787419598003277e-02, -2.987982813814221011e-02, 8.000000000000000444e-01, 7.500000000000000000e-01
4.047626779737388547e-02, -1.665334536937734123e-19, -3.243857272355646360e-02, 8.000000000000000444e-01, 1.000000000000000000e+00
4.047626779737388547e-02, -1.259787419598003971e-02, -2.987982813814221011e-02, 8.000000000000000444e-01, 1.250000000000000000e+00
4.047626779737388547e-02, -2.291203943548875827e-02, -2.291203943548875827e-02, 8.000000000000000444e-01, 1.500000000000000000e+00
4.047626779737388547e-02, -2.987982813814221011e-02, -1.259787419598003971e-02, 8.000000000000000444e-01, 1.750000000000000000e+00
4.047626779737388547e-02, -3.243857272355646360e-02, -1.168378522491748417e-19, 8.000000000000000444e-01, 2.000000000000000000e+00
4.047626779737388547e-02, -2.987982813814221011e-02, 1.259787419598003971e-02, 8.000000000000000444e-01, 2.250000000000000000e+00
4.047626779737389935e-02, -2.291203943548875827e-02, 2.291203943548875827e-02, 8.000000000000000444e-01, 2.500000000000000000e+00
