Block_Type,Alpha,CL,CD,CDp,CM,X,Y,x_coord,y_coord,z_coord
Performance,0.0,0.4741,0.00703,0.0022,-0.1018,0.6886,0.7752,,,
Performance,0.25,0.4944,0.00681,0.00229,-0.0995,0.6757,0.9086,,,
Performance,0.5,0.5429,0.00683,0.00228,-0.1037,0.6616,0.9948,,,
Performance,0.75,0.5727,0.00693,0.00228,-0.1041,0.6484,1.0,,,
Performance,1.0,0.5983,0.00705,0.00231,-0.1035,0.6356,1.0,,,
Performance,1.25,0.6239,0.00719,0.00235,-0.103,0.623,1.0,,,
Performance,1.5,0.6499,0.00731,0.0024,-0.1026,0.6104,1.0,,,
Performance,1.75,0.6761,0.00744,0.00246,-0.1022,0.5984,1.0,,,
Performance,2.0,0.7023,0.00759,0.00253,-0.1018,0.5871,1.0,,,
Performance,2.25,0.7283,0.00775,0.0026,-0.1014,0.5758,1.0,,,
Performance,2.5,0.7548,0.00788,0.00269,-0.1011,0.5646,1.0,,,
Performance,2.75,0.7811,0.00804,0.00279,-0.1007,0.5544,1.0,,,
Performance,3.0,0.8073,0.0082,0.0029,-0.1004,0.5444,1.0,,,
Performance,3.25,0.8339,0.00834,0.00302,-0.1001,0.5349,1.0,,,
Performance,3.5,0.86,0.00854,0.00314,-0.0998,0.526,1.0,,,
Performance,3.75,0.8867,0.00866,0.00327,-0.0995,0.5166,1.0,,,
Performance,4.0,0.9127,0.00884,0.00341,-0.0992,0.5067,1.0,,,
Performance,4.25,0.9385,0.00902,0.00355,-0.0988,0.4957,1.0,,,
Performance,4.5,0.9647,0.00917,0.0037,-0.0984,0.4849,1.0,,,
Performance,4.75,0.9903,0.00937,0.00385,-0.098,0.4741,1.0,,,
Performance,5.0,1.0155,0.00957,0.004,-0.0975,0.4618,1.0,,,
Performance,5.25,1.0403,0.00977,0.00416,-0.097,0.446,1.0,,,
Performance,5.5,1.0652,0.00997,0.00433,-0.0964,0.4309,1.0,,,
Performance,5.75,1.0906,0.01016,0.00452,-0.096,0.4187,1.0,,,
Performance,6.0,1.1155,0.01038,0.00472,-0.0955,0.4067,1.0,,,
Performance,6.25,1.1399,0.01063,0.00495,-0.0949,0.3935,1.0,,,
Performance,6.5,1.1639,0.0109,0.00518,-0.0942,0.3784,1.0,,,
Performance,6.75,1.1875,0.01119,0.00543,-0.0935,0.3609,1.0,,,
Performance,7.0,1.2103,0.01152,0.00571,-0.0927,0.341,1.0,,,
Performance,7.25,1.2318,0.01193,0.00603,-0.0917,0.3191,1.0,,,
Performance,7.5,1.2528,0.01238,0.00639,-0.0906,0.2935,1.0,,,
Performance,7.75,1.2718,0.01294,0.00682,-0.0892,0.2643,1.0,,,
Performance,8.0,1.2891,0.01362,0.00734,-0.0876,0.232,1.0,,,
Performance,8.25,1.3042,0.01442,0.00794,-0.0856,0.1973,1.0,,,
Performance,8.5,1.3175,0.01531,0.00862,-0.0834,0.1607,1.0,,,
Performance,8.75,1.3282,0.01622,0.00934,-0.0807,0.1301,1.0,,,
Performance,9.0,1.3388,0.01711,0.01011,-0.0781,0.108,1.0,,,
Performance,9.25,1.35,0.01798,0.01089,-0.0756,0.0904,1.0,,,
Performance,9.5,1.3615,0.01884,0.01169,-0.0732,0.0782,1.0,,,
Performance,9.75,1.3735,0.01968,0.01251,-0.0709,0.0704,1.0,,,
Performance,10.0,1.3845,0.0206,0.0134,-0.0687,0.0648,1.0,,,
Performance,10.25,1.3969,0.02144,0.01429,-0.0667,0.061,1.0,,,
Performance,10.5,1.4094,0.0223,0.01519,-0.0648,0.058,1.0,,,
Performance,10.75,1.4184,0.0234,0.0163,-0.0626,0.055,1.0,,,
Performance,11.0,1.427,0.02457,0.01753,-0.0605,0.0528,1.0,,,
Performance,11.25,1.4395,0.02551,0.01855,-0.0589,0.051,1.0,,,
Performance,11.5,1.4503,0.02659,0.01969,-0.0573,0.0492,1.0,,,
Performance,11.75,1.4584,0.02791,0.02104,-0.0555,0.0473,1.0,,,
Performance,12.0,1.4602,0.02976,0.02294,-0.0533,0.0455,1.0,,,
Performance,12.25,1.4688,0.03116,0.02443,-0.0519,0.0443,1.0,,,
Performance,12.5,1.4791,0.03246,0.02581,-0.0507,0.0429,1.0,,,
Performance,12.75,1.4875,0.03395,0.02738,-0.0495,0.0414,1.0,,,
Performance,13.0,1.4938,0.03568,0.02917,-0.0483,0.04,1.0,,,
Performance,13.25,1.4941,0.03801,0.03154,-0.0469,0.0387,1.0,,,
Performance,13.5,1.4941,0.04045,0.03407,-0.0457,0.0375,1.0,,,
Performance,13.75,1.503,0.04212,0.03584,-0.045,0.0363,1.0,,,
Performance,14.0,1.5091,0.0441,0.0379,-0.0444,0.0349,1.0,,,
Performance,14.25,1.5135,0.0463,0.04017,-0.0438,0.0337,1.0,,,
Performance,14.5,1.5126,0.04913,0.04305,-0.0432,0.0326,1.0,,,
Performance,14.75,1.5064,0.0526,0.04659,-0.0426,0.0315,1.0,,,
Performance,15.0,1.5124,0.05486,0.04898,-0.0424,0.0305,1.0,,,
Performance,15.25,1.5153,0.05748,0.05169,-0.0423,0.0294,1.0,,,
Performance,15.5,1.5171,0.06031,0.05459,-0.0423,0.0283,1.0,,,
Performance,15.75,1.5155,0.06359,0.05793,-0.0425,0.0274,1.0,,,
Performance,16.0,1.5055,0.06789,0.06228,-0.0426,0.0265,1.0,,,
Performance,16.25,1.508,0.07082,0.06534,-0.0429,0.0257,1.0,,,
Performance,16.5,1.5081,0.07407,0.06871,-0.0433,0.0248,1.0,,,
Performance,16.75,1.5068,0.07756,0.07229,-0.0439,0.024,1.0,,,
Performance,17.0,1.5043,0.08125,0.07605,-0.0445,0.0233,1.0,,,
Performance,17.25,1.4987,0.08538,0.08024,-0.0453,0.0226,1.0,,,
Geometry,,,,,,,,1.0,0.0013,0
Geometry,,,,,,,,0.95,0.0147,0
Geometry,,,,,,,,0.9,0.0271,0
Geometry,,,,,,,,0.8,0.0489,0
Geometry,,,,,,,,0.7,0.0669,0
Geometry,,,,,,,,0.6,0.0814,0
Geometry,,,,,,,,0.5,0.0919,0
Geometry,,,,,,,,0.4,0.098,0
Geometry,,,,,,,,0.3,0.0976,0
Geometry,,,,,,,,0.25,0.0941,0
Geometry,,,,,,,,0.2,0.088,0
Geometry,,,,,,,,0.15,0.0789,0
Geometry,,,,,,,,0.1,0.0659,0
Geometry,,,,,,,,0.075,0.0576,0
Geometry,,,,,,,,0.05,0.0473,0
Geometry,,,,,,,,0.025,0.0339,0
Geometry,,,,,,,,0.0125,0.0244,0
Geometry,,,,,,,,0.0,0.0,0
Geometry,,,,,,,,0.0125,-0.0143,0
Geometry,,,,,,,,0.025,-0.0195,0
Geometry,,,,,,,,0.05,-0.0249,0
Geometry,,,,,,,,0.075,-0.0274,0
Geometry,,,,,,,,0.1,-0.0286,0
Geometry,,,,,,,,0.15,-0.0288,0
Geometry,,,,,,,,0.2,-0.0274,0
Geometry,,,,,,,,0.25,-0.025,0
Geometry,,,,,,,,0.3,-0.0226,0
Geometry,,,,,,,,0.4,-0.018,0
Geometry,,,,,,,,0.5,-0.014,0
Geometry,,,,,,,,0.6,-0.01,0
Geometry,,,,,,,,0.7,-0.0065,0
Geometry,,,,,,,,0.8,-0.0039,0
Geometry,,,,,,,,0.9,-0.0022,0
Geometry,,,,,,,,0.95,-0.0016,0
Geometry,,,,,,,,1.0,-0.0013,0
